State,HeartRate,HeartRateAvg,HeartRateMax
title,70.84,76.6,77.24
bikuri1,67.36,67.34,70.5
bikuri2,70.32,67.36,67.4
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,50,77.24,77.24
active,50,77.24,77.24
active,50,77.24,77.24
active,50,77.24,77.24
active,50,77.24,77.24
active,50,77.24,77.24
active,50,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,71.43,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,68.18,77.24,77.24
active,70.84,77.2,77.24
active,70.84,77.15,77.24
active,70.84,77.1,77.24
active,70.84,77.05,77.24
active,70.84,77,77.24
active,70.84,76.94,77.24
active,70.84,76.89,77.24
active,70.84,76.84,77.24
active,70.84,76.79,77.24
active,70.84,76.74,77.24
active,70.84,76.69,77.24
active,70.84,76.65,77.24
active,70.84,76.6,77.24
active,70.84,76.55,77.24
active,70.84,76.5,77.24
active,70.84,76.44,77.24
active,70.84,76.39,77.24
active,70.84,76.34,77.24
active,70.84,76.29,77.24
active,68.47,74.77,77.24
active,68.47,74.7,77.24
active,68.47,74.63,77.24
active,68.47,74.58,77.24
active,68.47,74.53,77.24
active,68.47,74.46,77.24
active,68.47,74.39,77.24
active,68.47,74.32,77.24
active,67.73,74.25,77.24
active,67.73,74.17,77.24
active,67.73,74.09,77.24
active,67.73,74.02,77.24
active,67.73,73.94,77.24
active,67.73,73.87,77.24
active,67.73,73.79,77.24
active,67.73,73.71,77.24
active,67.73,73.64,77.24
active,67.37,73.56,77.24
active,67.37,73.48,77.24
active,67.37,73.4,77.24
active,67.37,73.32,77.24
active,67.37,73.25,77.24
active,67.37,73.17,77.24
active,67.37,73.09,77.24
active,67.37,73.01,77.24
active,67.37,72.93,77.24
active,67.82,72.85,77.24
active,67.82,72.78,77.24
active,67.82,72.7,77.24
active,67.82,72.63,77.24
active,67.82,72.55,77.24
active,67.82,72.48,77.24
active,67.82,72.4,77.24
active,67.82,72.32,77.24
active,67.82,72.25,77.24
active,68.7,72.18,77.24
active,68.7,72.11,77.24
active,68.7,72.04,77.24
active,68.7,71.97,77.24
active,68.7,71.9,77.24
active,68.7,71.84,77.24
active,68.7,71.77,77.24
active,68.7,71.7,77.24
active,68.7,71.63,77.24
active,69.9,71.57,77.24
active,69.9,71.52,77.24
active,69.9,71.46,77.24
active,69.9,71.41,77.24
active,69.9,71.35,77.24
active,69.9,71.29,77.24
active,69.9,71.23,77.24
active,69.9,71.17,77.24
active,69.9,71.11,77.24
active,70.5,71.05,77.24
active,70.5,71,77.24
