State,HeartRate,HeartRateAvg,HeartRateMax
title,62.3,62.3,62.3,0m:13s
bikuri1,62.3,62.3,62.3,0m:13s
bikuri2,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,92.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:13s
