State,HeartRate,HeartRateAvg,HeartRateMax,Time,Memo
active,62.3,62.3,62.3,0m:8s,
active,62.3,62.3,62.3,0m:13s,
active,62.3,62.3,62.3,0m:18s,
active,62.3,62.3,62.3,0m:22s,title
active,62.3,62.3,62.3,0m:8s,bikkuri
active,62.3,62.3,62.3,0m:13s,bikkuri
active,62.3,62.3,62.3,0m:18s,bikkuri
active,62.3,62.3,62.3,0m:22s,bikkuri
active,62.3,62.3,62.3,0m:27s,bikkuri
active,62.3,62.3,62.3,0m:32s,bikkuri
active,92.3,62.3,62.3,0m:37s,
active,62.3,62.3,62.3,0m:42s,bikkuri
active,62.3,62.3,62.3,0m:46s,kotei_bikkuri_1
active,62.3,62.3,62.3,0m:52s,bikkuri
active,62.3,62.3,62.3,0m:57s,kotei_bikkuri_2
